,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Date Filed 2016,File Name 2016,Url 2016,sentimento 2016,Date Filed 2017,File Name 2017,Url 2017,sentimento 2017,Date Filed 2018,File Name 2018,Url 2018,sentimento 2018,Date Filed 2019,File Name 2019,Url 2019,sentimento 2019,Date Filed 2020,File Name 2020,Url 2020,sentimento 2020,retorno_7d 2020,retorno_1d 2020,retorno_7d 2019,retorno_1d 2019,retorno_7d 2018,retorno_1d 2018,retorno_7d 2017,retorno_1d 2017,retorno_7d 2016,retorno_1d 2016
10,BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,San Mateo; California,,38777,1947,2016-11-14,38777_0000038777-16-000609.mda,https://www.sec.gov/Archives/edgar/data/38777/0000038777-16-000609.txt,-1.94,2017-11-13,38777_0000038777-17-000268.mda,https://www.sec.gov/Archives/edgar/data/38777/0000038777-17-000268.txt,-1.20,2018-11-09,38777_0000038777-18-000233.mda,https://www.sec.gov/Archives/edgar/data/38777/0000038777-18-000233.txt,-1.06,2019-11-12,38777_0000038777-19-000186.mda,https://www.sec.gov/Archives/edgar/data/38777/0000038777-19-000186.txt,-1.06,2020-11-23,38777_0000038777-20-000203.mda,https://www.sec.gov/Archives/edgar/data/38777/0000038777-20-000203.txt,-0.62,0.03,0.05,-0.01,-0.02,0.01,-0.02,0.00,0.00,0.02,0.00
11,FCX,Freeport-McMoRan,reports,Materials,Copper,Phoenix; Arizona,,831259,1912,2016-02-26,831259_0000831259-16-000062.mda,https://www.sec.gov/Archives/edgar/data/831259/0000831259-16-000062.txt,0.00,2017-02-24,831259_0000831259-17-000012.mda,https://www.sec.gov/Archives/edgar/data/831259/0000831259-17-000012.txt,0.00,2018-02-20,831259_0000831259-18-000008.mda,https://www.sec.gov/Archives/edgar/data/831259/0000831259-18-000008.txt,0.00,2019-02-15,831259_0000831259-19-000009.mda,https://www.sec.gov/Archives/edgar/data/831259/0000831259-19-000009.txt,0.00,2020-02-14,831259_0000831259-20-000004.mda,https://www.sec.gov/Archives/edgar/data/831259/0000831259-20-000004.txt,0.00,-0.05,-0.05,0.09,0.08,0.04,0.02,-0.02,-0.02,0.37,0.07
12,GE,General Electric,reports,Industrials,Industrial Conglomerates,Boston; Massachusetts,,40545,1892,2016-02-26,40545_0000040545-16-000145.mda,https://www.sec.gov/Archives/edgar/data/40545/0000040545-16-000145.txt,0.00,2017-02-24,40545_0000040545-17-000010.mda,https://www.sec.gov/Archives/edgar/data/40545/0000040545-17-000010.txt,0.00,2018-02-23,40545_0000040545-18-000014.mda,https://www.sec.gov/Archives/edgar/data/40545/0000040545-18-000014.txt,0.00,2019-02-26,40545_0000040545-19-000014.mda,https://www.sec.gov/Archives/edgar/data/40545/0000040545-19-000014.txt,0.00,2020-02-24,40545_0000040545-20-000009.mda,https://www.sec.gov/Archives/edgar/data/40545/0000040545-20-000009.txt,0.00,-0.05,-0.05,-0.09,0.01,-0.03,0.00,0.00,0.00,0.04,0.00
13,HUM,Humana,reports,Health Care,Managed Health Care,Louisville; Kentucky,,49071,1961,2016-02-18,49071_0000049071-16-000117.mda,https://www.sec.gov/Archives/edgar/data/49071/0000049071-16-000117.txt,1.08,2017-02-17,49071_0000049071-17-000019.mda,https://www.sec.gov/Archives/edgar/data/49071/0000049071-17-000019.txt,-0.17,2018-02-16,49071_0000049071-18-000014.mda,https://www.sec.gov/Archives/edgar/data/49071/0000049071-18-000014.txt,0.22,2019-02-21,49071_0000049071-19-000023.mda,https://www.sec.gov/Archives/edgar/data/49071/0000049071-19-000023.txt,0.00,2020-02-20,49071_0000049071-20-000032.mda,https://www.sec.gov/Archives/edgar/data/49071/0000049071-20-000032.txt,1.34,-0.17,-0.02,-0.08,0.00,0.01,0.00,-0.01,0.00,0.05,0.00
14,HBAN,Huntington Bancshares,reports,Financials,Regional Banks,Columbus; Ohio; Detroit; Michigan,,49196,1866,2016-02-17,49196_0000049196-16-000032.mda,https://www.sec.gov/Archives/edgar/data/49196/0000049196-16-000032.txt,1.78,2017-02-22,49196_0000049196-17-000009.mda,https://www.sec.gov/Archives/edgar/data/49196/0000049196-17-000009.txt,2.05,2018-02-16,49196_0000049196-18-000008.mda,https://www.sec.gov/Archives/edgar/data/49196/0000049196-18-000008.txt,2.76,2019-02-15,49196_0000049196-19-000018.mda,https://www.sec.gov/Archives/edgar/data/49196/0000049196-19-000018.txt,2.11,2020-02-14,49196_0000049196-20-000010.mda,https://www.sec.gov/Archives/edgar/data/49196/0000049196-20-000010.txt,1.99,-0.02,-0.02,0.05,0.03,0.01,0.00,0.03,0.00,-0.02,-0.03
15,KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,Milpitas; California,,319201,1975/1977 (1997),2016-08-05,319201_0000319201-16-000090.mda,https://www.sec.gov/Archives/edgar/data/319201/0000319201-16-000090.txt,-0.66,2017-08-04,319201_0000319201-17-000034.mda,https://www.sec.gov/Archives/edgar/data/319201/0000319201-17-000034.txt,1.65,2018-08-06,319201_0000319201-18-000045.mda,https://www.sec.gov/Archives/edgar/data/319201/0000319201-18-000045.txt,2.13,2019-08-16,319201_0000319201-19-000031.mda,https://www.sec.gov/Archives/edgar/data/319201/0000319201-19-000031.txt,1.78,2020-08-07,319201_0000319201-20-000047.mda,https://www.sec.gov/Archives/edgar/data/319201/0000319201-20-000047.txt,0.26,0.04,0.00,0.05,0.06,-0.02,0.00,0.02,0.03,-0.11,0.00
16,L,Loews Corporation,reports,Financials,Multi-line Insurance,New York City; New York,,60086,1959,2016-02-19,60086_0001193125-16-470141.mda,https://www.sec.gov/Archives/edgar/data/60086/0001193125-16-470141.txt,-3.28,2017-02-16,60086_0001193125-17-046521.mda,https://www.sec.gov/Archives/edgar/data/60086/0001193125-17-046521.txt,-1.91,2018-02-15,60086_0001193125-18-046681.mda,https://www.sec.gov/Archives/edgar/data/60086/0001193125-18-046681.txt,0.07,2019-02-13,60086_0001193125-19-037854.mda,https://www.sec.gov/Archives/edgar/data/60086/0001193125-19-037854.txt,-0.93,2020-02-12,60086_0001193125-20-031657.mda,https://www.sec.gov/Archives/edgar/data/60086/0001193125-20-031657.txt,-2.09,-0.02,-0.01,0.03,0.00,0.01,0.02,0.00,-0.01,-0.02,0.01
17,MAR,Marriott International,reports,Consumer Discretionary,Hotels; Resorts & Cruise Lines,Bethesda; Maryland,,1048286,1927,2016-02-18,1048286_0001628280-16-011346.mda,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-16-011346.txt,4.22,2017-02-21,1048286_0001628280-17-001506.mda,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-17-001506.txt,3.54,2018-02-15,1048286_0001628280-18-001756.mda,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-18-001756.txt,5.18,2019-03-01,1048286_0001628280-19-002337.mda,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-19-002337.txt,4.36,2020-02-27,1048286_0001628280-20-002376.mda,https://www.sec.gov/Archives/edgar/data/1048286/0001628280-20-002376.txt,2.81,-0.08,0.03,-0.04,-0.01,-0.03,-0.05,0.00,0.00,0.02,-0.01
18,MCK,McKesson Corporation,reports,Health Care,Health Care Distributors,Irving; Texas,,927653,1833,2016-05-05,927653_0000927653-16-000020.mda,https://www.sec.gov/Archives/edgar/data/927653/0000927653-16-000020.txt,-0.40,2017-05-22,927653_0000927653-17-000007.mda,https://www.sec.gov/Archives/edgar/data/927653/0000927653-17-000007.txt,-0.62,2018-05-24,927653_0000927653-18-000010.mda,https://www.sec.gov/Archives/edgar/data/927653/0000927653-18-000010.txt,-2.72,2019-05-15,927653_0000927653-19-000009.mda,https://www.sec.gov/Archives/edgar/data/927653/0000927653-19-000009.txt,-2.21,2020-05-22,927653_0000927653-20-000033.mda,https://www.sec.gov/Archives/edgar/data/927653/0000927653-20-000033.txt,-0.93,0.09,0.02,0.03,0.00,-0.03,-0.01,0.00,0.02,0.01,0.02
19,MET,MetLife,reports,Financials,Life & Health Insurance,New York City; New York,,1099219,1868,2016-02-25,1099219_0000937834-16-000077.mda,https://www.sec.gov/Archives/edgar/data/1099219/0000937834-16-000077.txt,-0.63,2017-03-01,1099219_0000937834-17-000003.mda,https://www.sec.gov/Archives/edgar/data/1099219/0000937834-17-000003.txt,-1.47,2018-03-01,1099219_0000937834-18-000005.mda,https://www.sec.gov/Archives/edgar/data/1099219/0000937834-18-000005.txt,-0.44,2019-02-22,1099219_0001099219-19-000008.mda,https://www.sec.gov/Archives/edgar/data/1099219/0001099219-19-000008.txt,-0.32,2020-02-21,1099219_0001099219-20-000064.mda,https://www.sec.gov/Archives/edgar/data/1099219/0001099219-20-000064.txt,-0.48,-0.18,-0.06,0.02,0.01,0.01,-0.01,0.02,0.02,0.10,0.04
20,MCO,Moody's Corporation,reports,Financials,Financial Exchanges & Data,New York City; New York,,1059556,1909,2016-02-25,1059556_0001193125-16-476427.mda,https://www.sec.gov/Archives/edgar/data/1059556/0001193125-16-476427.txt,3.25,2017-02-24,1059556_0001193125-17-054522.mda,https://www.sec.gov/Archives/edgar/data/1059556/0001193125-17-054522.txt,2.86,2018-02-27,1059556_0001193125-18-058986.mda,https://www.sec.gov/Archives/edgar/data/1059556/0001193125-18-058986.txt,4.05,2019-02-25,1059556_0001193125-19-048576.mda,https://www.sec.gov/Archives/edgar/data/1059556/0001193125-19-048576.txt,3.58,2020-02-24,1059556_0001059556-20-000005.mda,https://www.sec.gov/Archives/edgar/data/1059556/0001059556-20-000005.txt,1.78,-0.03,-0.02,0.00,0.00,-0.02,-0.02,-0.01,-0.01,0.09,0.02
21,MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,New York City; New York,,895421,1935,2016-02-23,895421_0001193125-16-473553.mda,https://www.sec.gov/Archives/edgar/data/895421/0001193125-16-473553.txt,-2.84,2017-02-27,895421_0001193125-17-059212.mda,https://www.sec.gov/Archives/edgar/data/895421/0001193125-17-059212.txt,0.00,2018-02-27,895421_0001193125-18-060831.mda,https://www.sec.gov/Archives/edgar/data/895421/0001193125-18-060831.txt,0.00,2019-02-26,895421_0001193125-19-051943.mda,https://www.sec.gov/Archives/edgar/data/895421/0001193125-19-051943.txt,0.00,2020-02-27,895421_0000895421-20-000265.mda,https://www.sec.gov/Archives/edgar/data/895421/0000895421-20-000265.txt,0.00,-0.10,-0.05,-0.01,0.01,-0.01,-0.02,0.02,0.00,0.06,-0.03
22,MSI,Motorola Solutions,reports,Information Technology,Communications Equipment,Chicago; Illinois,,68505,1928 (2011),2016-02-23,68505_0000068505-16-000017.mda,https://www.sec.gov/Archives/edgar/data/68505/0000068505-16-000017.txt,-0.48,2017-02-21,68505_0000068505-17-000002.mda,https://www.sec.gov/Archives/edgar/data/68505/0000068505-17-000002.txt,0.73,2018-02-16,68505_0000068505-18-000009.mda,https://www.sec.gov/Archives/edgar/data/68505/0000068505-18-000009.txt,2.53,2019-02-15,68505_0000068505-19-000006.mda,https://www.sec.gov/Archives/edgar/data/68505/0000068505-19-000006.txt,2.51,2020-02-14,68505_0000068505-20-000006.mda,https://www.sec.gov/Archives/edgar/data/68505/0000068505-20-000006.txt,3.27,0.01,0.00,0.02,0.01,0.01,0.00,0.00,0.00,0.07,0.09
23,NI,NiSource,reports,Utilities,Multi-Utilities,Merrillville; Indiana,,1111711,1912,2016-02-18,1111711_0001111711-16-000049.mda,https://www.sec.gov/Archives/edgar/data/1111711/0001111711-16-000049.txt,1.27,2017-02-22,1111711_0001111711-17-000011.mda,https://www.sec.gov/Archives/edgar/data/1111711/0001111711-17-000011.txt,0.50,2018-02-20,1111711_0001111711-18-000008.mda,https://www.sec.gov/Archives/edgar/data/1111711/0001111711-18-000008.txt,-0.12,2019-02-20,1111711_0001111711-19-000008.mda,https://www.sec.gov/Archives/edgar/data/1111711/0001111711-19-000008.txt,-2.00,2020-02-28,1111711_0001111711-20-000013.mda,https://www.sec.gov/Archives/edgar/data/1111711/0001111711-20-000013.txt,-1.26,0.08,0.05,0.00,-0.02,0.01,-0.01,0.04,0.03,0.03,0.02
24,NTRS,Northern Trust,reports,Financials,Asset Management & Custody Banks,Chicago; Illinois,,73124,1889,2016-02-29,73124_0000073124-16-000324.mda,https://www.sec.gov/Archives/edgar/data/73124/0000073124-16-000324.txt,0.27,2017-02-28,73124_0000073124-17-000117.mda,https://www.sec.gov/Archives/edgar/data/73124/0000073124-17-000117.txt,0.84,2018-02-27,73124_0000073124-18-000141.mda,https://www.sec.gov/Archives/edgar/data/73124/0000073124-18-000141.txt,1.12,2019-02-26,73124_0000073124-19-000088.mda,https://www.sec.gov/Archives/edgar/data/73124/0000073124-19-000088.txt,1.25,2020-02-25,73124_0000073124-20-000101.mda,https://www.sec.gov/Archives/edgar/data/73124/0000073124-20-000101.txt,0.12,-0.14,-0.07,0.00,0.01,-0.02,-0.03,0.01,0.02,0.11,0.05
25,OMC,Omnicom Group,reports,Communication Services,Advertising,New York City; New York,,29989,1986,2016-02-09,29989_0000029989-16-000015.mda,https://www.sec.gov/Archives/edgar/data/29989/0000029989-16-000015.txt,0.71,2017-02-09,29989_0000029989-17-000004.mda,https://www.sec.gov/Archives/edgar/data/29989/0000029989-17-000004.txt,1.13,2018-02-15,29989_0000029989-18-000004.mda,https://www.sec.gov/Archives/edgar/data/29989/0000029989-18-000004.txt,1.06,2019-02-12,29989_0000029989-19-000007.mda,https://www.sec.gov/Archives/edgar/data/29989/0000029989-19-000007.txt,0.00,2020-02-11,29989_0000029989-20-000005.mda,https://www.sec.gov/Archives/edgar/data/29989/0000029989-20-000005.txt,1.22,0.02,0.02,0.01,-0.01,-0.07,-0.05,0.00,0.00,0.09,0.05
26,PAYX,Paychex,reports,Information Technology,Data Processing & Outsourced Services,Penfield; New York,,723531,1971,2016-07-22,723531_0000723531-16-000046.mda,https://www.sec.gov/Archives/edgar/data/723531/0000723531-16-000046.txt,0.00,2017-07-21,723531_0000723531-17-000023.mda,https://www.sec.gov/Archives/edgar/data/723531/0000723531-17-000023.txt,0.00,2018-07-20,723531_0000723531-18-000026.mda,https://www.sec.gov/Archives/edgar/data/723531/0000723531-18-000026.txt,0.00,2019-07-24,723531_0000723531-19-000032.mda,https://www.sec.gov/Archives/edgar/data/723531/0000723531-19-000032.txt,0.00,2020-07-17,723531_0000723531-20-000048.mda,https://www.sec.gov/Archives/edgar/data/723531/0000723531-20-000048.txt,0.00,-0.01,0.01,-0.02,0.01,0.01,0.01,0.01,0.00,-0.02,0.01
27,PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,Phoenix; Arizona,,764622,1985,2016-02-19,764622_0000764622-16-000087.mda,https://www.sec.gov/Archives/edgar/data/764622/0000764622-16-000087.txt,1.13,2017-02-24,764622_0000764622-17-000010.mda,https://www.sec.gov/Archives/edgar/data/764622/0000764622-17-000010.txt,1.77,2018-02-23,764622_0000764622-18-000018.mda,https://www.sec.gov/Archives/edgar/data/764622/0000764622-18-000018.txt,0.83,2019-02-22,764622_0000764622-19-000019.mda,https://www.sec.gov/Archives/edgar/data/764622/0000764622-19-000019.txt,1.20,2020-02-21,764622_0000764622-20-000017.mda,https://www.sec.gov/Archives/edgar/data/764622/0000764622-20-000017.txt,3.02,-0.11,0.00,0.01,0.02,0.00,0.05,0.03,0.01,0.02,0.03
28,PPL,PPL,reports,Utilities,Electric Utilities,Allentown; Pennsylvania,,922224,1920,2016-02-19,922224_0000922224-16-000130.mda,https://www.sec.gov/Archives/edgar/data/922224/0000922224-16-000130.txt,1.94,2017-02-17,922224_0000922224-17-000010.mda,https://www.sec.gov/Archives/edgar/data/922224/0000922224-17-000010.txt,0.84,2018-02-22,922224_0000922224-18-000023.mda,https://www.sec.gov/Archives/edgar/data/922224/0000922224-18-000023.txt,0.77,2019-02-14,922224_0000922224-19-000015.mda,https://www.sec.gov/Archives/edgar/data/922224/0000922224-19-000015.txt,0.96,2020-02-14,922224_0000922224-20-000005.mda,https://www.sec.gov/Archives/edgar/data/922224/0000922224-20-000005.txt,0.40,-0.02,-0.01,0.02,-0.01,-0.06,0.01,0.03,0.00,-0.05,-0.01
29,QCOM,Qualcomm,reports,Information Technology,Semiconductors,San Diego; California,,804328,1985,2016-11-02,804328_0001234452-16-000552.mda,https://www.sec.gov/Archives/edgar/data/804328/0001234452-16-000552.txt,-2.18,2017-11-01,804328_0001234452-17-000190.mda,https://www.sec.gov/Archives/edgar/data/804328/0001234452-17-000190.txt,-2.07,2018-11-07,804328_0001728949-18-000095.mda,https://www.sec.gov/Archives/edgar/data/804328/0001728949-18-000095.txt,-1.91,2019-11-06,804328_0001728949-19-000072.mda,https://www.sec.gov/Archives/edgar/data/804328/0001728949-19-000072.txt,0.00,2020-11-04,804328_0001728949-20-000067.mda,https://www.sec.gov/Archives/edgar/data/804328/0001728949-20-000067.txt,-2.12,0.18,0.16,0.06,-0.01,-0.15,-0.09,0.28,0.08,-0.01,-0.02
30,RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,Waltham; Massachusetts,,101829,1922,2016-02-11,101829_0000101829-16-000050.mda,https://www.sec.gov/Archives/edgar/data/101829/0000101829-16-000050.txt,0.00,2017-02-09,101829_0000101829-17-000007.mda,https://www.sec.gov/Archives/edgar/data/101829/0000101829-17-000007.txt,0.00,2018-02-09,101829_0000101829-18-000005.mda,https://www.sec.gov/Archives/edgar/data/101829/0000101829-18-000005.txt,0.00,2019-02-07,101829_0000101829-19-000007.mda,https://www.sec.gov/Archives/edgar/data/101829/0000101829-19-000007.txt,0.00,2020-02-06,101829_0000101829-20-000013.mda,https://www.sec.gov/Archives/edgar/data/101829/0000101829-20-000013.txt,0.00,-0.02,0.01,0.02,0.01,0.01,0.00,0.02,0.01,0.02,-0.01
31,ROK,Rockwell Automation,reports,Industrials,Electrical Components & Equipment,Milwaukee; Wisconsin,,1024478,1903,2016-11-15,1024478_0001024478-16-000071.mda,https://www.sec.gov/Archives/edgar/data/1024478/0001024478-16-000071.txt,1.05,2017-11-15,1024478_0001024478-17-000034.mda,https://www.sec.gov/Archives/edgar/data/1024478/0001024478-17-000034.txt,2.83,2018-11-09,1024478_0001024478-18-000032.mda,https://www.sec.gov/Archives/edgar/data/1024478/0001024478-18-000032.txt,5.93,2019-11-12,1024478_0001024478-19-000044.mda,https://www.sec.gov/Archives/edgar/data/1024478/0001024478-19-000044.txt,4.19,2020-11-10,1024478_0001024478-20-000038.mda,https://www.sec.gov/Archives/edgar/data/1024478/0001024478-20-000038.txt,0.81,-0.05,-0.05,0.10,0.11,0.00,-0.04,0.00,0.01,0.00,0.01
